origin,destination,price_usd,bucket,color
MXP,QVL,,No Data,#CCCCCC
MXP,BRT,,No Data,#CCCCCC
MXP,ZIV,,No Data,#CCCCCC
MXP,HPV,,No Data,#CCCCCC
MXP,FOD,1450.06,>1000,#FF0000
MXP,MAD,98.33,<100,#0000FF
MXP,BVY,,No Data,#CCCCCC
MXP,KTD,,No Data,#CCCCCC
MXP,ELH,,No Data,#CCCCCC
MXP,SXS,,No Data,#CCCCCC
MXP,XNJ,,No Data,#CCCCCC
MXP,BPF,,No Data,#CCCCCC
MXP,JJI,,No Data,#CCCCCC
MXP,TFS,170.91,100-200,#00FF00
MXP,DEA,,No Data,#CCCCCC
MXP,KGX,,No Data,#CCCCCC
MXP,IPN,,No Data,#CCCCCC
MXP,ILZ,,No Data,#CCCCCC
MXP,VOG,,No Data,#CCCCCC
MXP,HAC,,No Data,#CCCCCC
MXP,INY,,No Data,#CCCCCC
MXP,VRK,,No Data,#CCCCCC
MXP,PUG,,No Data,#CCCCCC
MXP,MEA,,No Data,#CCCCCC
MXP,UTK,,No Data,#CCCCCC
MXP,TEM,,No Data,#CCCCCC
MXP,YPA,,No Data,#CCCCCC
MXP,TUS,952.08,800-1000,#FFA500
MXP,DSC,,No Data,#CCCCCC
MXP,PLX,,No Data,#CCCCCC
MXP,ITH,1383.57,>1000,#FF0000
MXP,MQQ,,No Data,#CCCCCC
MXP,MYQ,,No Data,#CCCCCC
MXP,TWU,508.17,400-800,#FFFF00
MXP,JKH,,No Data,#CCCCCC
MXP,YND,,No Data,#CCCCCC
MXP,KLF,,No Data,#CCCCCC
MXP,YDF,1454.19,>1000,#FF0000
MXP,CUU,,No Data,#CCCCCC
MXP,TUK,,No Data,#CCCCCC
MXP,DJG,252.2,200-400,#008000
MXP,VFA,709.6,400-800,#FFFF00
MXP,DIG,,No Data,#CCCCCC
MXP,DLD,,No Data,#CCCCCC
MXP,MEZ,,No Data,#CCCCCC
MXP,BJO,,No Data,#CCCCCC
MXP,SHT,,No Data,#CCCCCC
MXP,LPU,,No Data,#CCCCCC
MXP,SXO,,No Data,#CCCCCC
MXP,PWK,,No Data,#CCCCCC
MXP,HOV,197.41,100-200,#00FF00
MXP,AZD,,No Data,#CCCCCC
MXP,GAH,,No Data,#CCCCCC
MXP,YLJ,,No Data,#CCCCCC
MXP,YGR,,No Data,#CCCCCC
MXP,NUM,662.38,400-800,#FFFF00
MXP,GME,,No Data,#CCCCCC
MXP,TEE,186.48,100-200,#00FF00
MXP,LIQ,,No Data,#CCCCCC
MXP,MUO,,No Data,#CCCCCC
MXP,PKX,365.98,200-400,#008000
MXP,MXY,,No Data,#CCCCCC
MXP,MNC,,No Data,#CCCCCC
MXP,ZGC,,No Data,#CCCCCC
MXP,MUX,339.01,200-400,#008000
MXP,GZT,258.19,200-400,#008000
MXP,RUA,,No Data,#CCCCCC
MXP,JQF,,No Data,#CCCCCC
MXP,APZ,,No Data,#CCCCCC
MXP,CLQ,,No Data,#CCCCCC
MXP,YZG,,No Data,#CCCCCC
MXP,PGV,,No Data,#CCCCCC
MXP,URJ,,No Data,#CCCCCC
MXP,IKS,,No Data,#CCCCCC
MXP,SJB,,No Data,#CCCCCC
MXP,LAA,,No Data,#CCCCCC
MXP,BSO,,No Data,#CCCCCC
MXP,YHI,,No Data,#CCCCCC
MXP,KVA,110.24,100-200,#00FF00
MXP,ANN,,No Data,#CCCCCC
MXP,ZAM,841.66,800-1000,#FFA500
MXP,XNA,760.08,400-800,#FFFF00
MXP,ZOS,,No Data,#CCCCCC
MXP,AGX,644.97,400-800,#FFFF00
MXP,ERM,,No Data,#CCCCCC
MXP,AKU,470.12,400-800,#FFFF00
MXP,PNR,,No Data,#CCCCCC
MXP,RDR,,No Data,#CCCCCC
MXP,RKP,,No Data,#CCCCCC
MXP,CMX,,No Data,#CCCCCC
MXP,BFQ,,No Data,#CCCCCC
MXP,KMO,,No Data,#CCCCCC
MXP,USM,653.17,400-800,#FFFF00
MXP,STR,94.62,<100,#0000FF
MXP,PBV,,No Data,#CCCCCC
MXP,DPL,887.66,800-1000,#FFA500
MXP,JNS,,No Data,#CCCCCC
MXP,NEG,,No Data,#CCCCCC
MXP,LGK,465.17,400-800,#FFFF00
MXP,MRY,1646.57,>1000,#FF0000
MXP,TNE,,No Data,#CCCCCC
MXP,YUM,,No Data,#CCCCCC
MXP,SGU,1576.57,>1000,#FF0000
MXP,YSL,,No Data,#CCCCCC
MXP,GON,,No Data,#CCCCCC
MXP,CUZ,616.74,400-800,#FFFF00
MXP,PET,648.02,400-800,#FFFF00
MXP,FCS,,No Data,#CCCCCC
MXP,GVL,,No Data,#CCCCCC
MXP,MDZ,659.78,400-800,#FFFF00
MXP,KUT,,No Data,#CCCCCC
MXP,KRB,,No Data,#CCCCCC
MXP,LGB,3911.02,>1000,#FF0000
MXP,ENS,,No Data,#CCCCCC
MXP,TPI,,No Data,#CCCCCC
MXP,MCI,760.08,400-800,#FFFF00
MXP,BWT,,No Data,#CCCCCC
MXP,ORB,,No Data,#CCCCCC
MXP,TYF,,No Data,#CCCCCC
MXP,CBV,,No Data,#CCCCCC
MXP,CAP,,No Data,#CCCCCC
MXP,RJA,703.97,400-800,#FFFF00
MXP,GBE,568.83,400-800,#FFFF00
MXP,GER,,No Data,#CCCCCC
MXP,LTM,,No Data,#CCCCCC
MXP,DOE,,No Data,#CCCCCC
MXP,LWC,,No Data,#CCCCCC
MXP,BTJ,,No Data,#CCCCCC
MXP,MSJ,602.71,400-800,#FFFF00
MXP,SJE,,No Data,#CCCCCC
MXP,YDT,,No Data,#CCCCCC
MXP,CUE,847.75,800-1000,#FFA500
MXP,NOP,299.19,200-400,#008000
MXP,GAU,,No Data,#CCCCCC
MXP,BTT,,No Data,#CCCCCC
MXP,AER,657.6,400-800,#FFFF00
MXP,SRT,,No Data,#CCCCCC
MXP,SXQ,,No Data,#CCCCCC
MXP,YRG,,No Data,#CCCCCC
MXP,SJD,633.19,400-800,#FFFF00
MXP,LXC,,No Data,#CCCCCC
MXP,XIY,499.65,400-800,#FFFF00
MXP,TLV,91.65,<100,#0000FF
MXP,WUD,,No Data,#CCCCCC
MXP,XVV,,No Data,#CCCCCC
MXP,BFD,,No Data,#CCCCCC
MXP,NPL,1404.01,>1000,#FF0000
MXP,TLH,799.01,400-800,#FFFF00
MXP,AFZ,,No Data,#CCCCCC
MXP,YPM,,No Data,#CCCCCC
MXP,VLP,,No Data,#CCCCCC
MXP,ZIA,,No Data,#CCCCCC
MXP,CEQ,,No Data,#CCCCCC
MXP,YRF,,No Data,#CCCCCC
MXP,YGW,3917.19,>1000,#FF0000
MXP,SNC,,No Data,#CCCCCC
MXP,QGY,,No Data,#CCCCCC
MXP,FNE,,No Data,#CCCCCC
MXP,RPM,,No Data,#CCCCCC
MXP,KTP,,No Data,#CCCCCC
MXP,SSE,,No Data,#CCCCCC
MXP,BXK,,No Data,#CCCCCC
MXP,ZQF,,No Data,#CCCCCC
MXP,IVA,,No Data,#CCCCCC
MXP,KWI,289.63,200-400,#008000
MXP,XIZ,,No Data,#CCCCCC
MXP,HBG,,No Data,#CCCCCC
MXP,LAR,,No Data,#CCCCCC
MXP,GPO,,No Data,#CCCCCC
MXP,TRS,,No Data,#CCCCCC
MXP,FEB,,No Data,#CCCCCC
MXP,BOA,,No Data,#CCCCCC
MXP,TII,,No Data,#CCCCCC
MXP,RNL,,No Data,#CCCCCC
MXP,CFE,259.02,200-400,#008000
MXP,KSU,135.41,100-200,#00FF00
MXP,ESR,,No Data,#CCCCCC
MXP,OKY,,No Data,#CCCCCC
MXP,SDR,162.85,100-200,#00FF00
MXP,GEO,931.04,800-1000,#FFA500
MXP,LCC,,No Data,#CCCCCC
MXP,KDL,,No Data,#CCCCCC
MXP,YGV,,No Data,#CCCCCC
MXP,TOX,,No Data,#CCCCCC
MXP,RMA,,No Data,#CCCCCC
MXP,GRR,760.08,400-800,#FFFF00
MXP,IWJ,,No Data,#CCCCCC
MXP,YLC,,No Data,#CCCCCC
MXP,KVX,,No Data,#CCCCCC
MXP,RJK,164.75,100-200,#00FF00
MXP,DRG,,No Data,#CCCCCC
MXP,AVN,,No Data,#CCCCCC
MXP,YCR,,No Data,#CCCCCC
MXP,VAO,,No Data,#CCCCCC
MXP,KTN,954.2,800-1000,#FFA500
MXP,SBR,,No Data,#CCCCCC
MXP,LTO,,No Data,#CCCCCC
MXP,PSK,,No Data,#CCCCCC
MXP,HCC,,No Data,#CCCCCC
MXP,HMN,,No Data,#CCCCCC
MXP,KND,,No Data,#CCCCCC
MXP,ICN,475.49,400-800,#FFFF00
MXP,AKA,1534.39,>1000,#FF0000
MXP,LEU,188.46,100-200,#00FF00
MXP,YMY,,No Data,#CCCCCC
MXP,BFB,,No Data,#CCCCCC
MXP,SYO,712.49,400-800,#FFFF00
MXP,TQR,,No Data,#CCCCCC
